,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
481,PANDA EXPRESS #1422,1,0,1,1,0
482,PANDA EXPRESS #1878,1,1,0,0,1
483,PANDA EXPRESS #1975,1,0,1,1,0
484,PANDA EXPRESS #591,1,0,1,1,0
485,PANERA BREAD #1152,1,0,1,1,0
486,PANTANOS RESTAURANT CHICAGO LLC,1,0,1,1,0
487,PAPA SANTIAGOS PIZZERIA,2,0,2,2,0
488,PARADISE PARK,1,0,1,0,1
489,PAULA'S THAI KITCHEN,1,0,1,0,1
490,PEIRCE (BOARD OF EDUCATION),1,1,0,1,0
491,PEKE'S POZOLE,1,0,1,1,0
492,PERFECT BRUNCH BRO'S,1,0,1,1,0
493,PETEY'S,1,0,1,1,0
494,PHO CAFE,2,0,2,1,1
495,PHO NAM LUA,1,1,0,0,1
496,PIECE OUT,2,0,2,2,0
497,PITTSFIELD CAFE,2,0,2,1,1
498,POLLO CAMPERO,1,1,0,0,1
499,POLONIA,1,0,1,1,0
500,POPEYE'S #864,2,2,0,0,2
501,POPEYE'S CHICKEN & BISCUITS,1,0,1,1,0
502,POTBELLY SANDWICH SHOP,1,0,1,0,1
503,POTBELLY SANDWICH WORKS,1,0,1,0,1
504,POTBELLY SANDWICH WORKS LLC,1,0,1,0,1
505,"POTBELLY SANDWICH WORKS, LLC",1,0,1,1,0
506,"PRECIOUS LITTLE ONE'S LEARNING CENTER, INC.",1,1,0,0,1
507,PRIME FISH,2,1,1,1,1
508,PROVARE,2,0,2,2,0
509,PUFFY CAKES,1,0,1,1,0
