,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
448,7-ELEVEN #36718B,6,2,4,4,2
449,7-ELEVEN #36718H,3,1,2,1,2
450,7-ELEVEN #36793B,4,2,2,2,2
451,7-ELEVEN #36881J,2,1,1,0,2
452,7-ELEVEN #37152 A,10,5,5,5,5
453,7-ELEVEN #37622B,4,1,3,2,2
454,7-ELEVEN #37759 A,6,3,3,3,3
455,7-ELEVEN #38046A,7,3,4,4,3
456,7-ELEVEN #38183 H,4,3,1,4,0
457,7-ELEVEN #38183A,3,1,2,1,2
458,7-ELEVEN #38183B,4,2,2,3,1
459,7-ELEVEN #38484 A,5,0,5,3,2
460,7-ELEVEN #38544H,6,2,4,5,1
461,7-ELEVEN #38585H,5,2,3,4,1
462,7-ELEVEN #38861H,2,0,2,1,1
463,7-ELEVEN #38948H,6,0,6,5,1
464,7-ELEVEN #39913A,3,1,2,3,0
465,7-ELEVEN #41810A,2,1,1,1,1
466,7-ELEVEN #41961H,4,1,3,3,1
467,7-ELEVEN 29530D,7,3,4,4,3
468,7-ELEVEN 33139,6,3,3,2,4
469,7-ELEVEN 33609,10,4,6,5,5
470,7-ELEVEN 37760A,5,0,5,3,2
471,7-ELEVEN DOMY CORP,11,6,5,5,6
472,7-ELEVEN FOOD STORE,15,7,8,8,7
473,"7-ELEVEN,INC.",4,1,3,2,2
474,7-Eleven,81,34,47,46,35
475,7-Eleven #240606B,2,1,1,0,2
476,7-Eleven #34133B,4,1,3,2,2
477,7-Eleven #41810H,6,4,2,4,2
478,7-eleven #33809J,6,1,5,3,3
479,70 EATS,3,1,2,1,2
480,71 CHOP SUEY,13,5,8,11,2
481,71 FOOD WHOLESALE,5,3,2,3,2
482,"71ST & PARNELL MARKET, INC.",4,1,3,2,2
483,71ST ASHLAND - B P,2,0,2,2,0
484,"71ST CANDY WAREHOUSE, INC.",3,1,2,2,1
485,71ST DISCOUNT STORE,5,1,4,5,0
486,71ST FAMILY MART PLUS,2,1,1,1,1
487,71ST FOOD MART INC.,3,0,3,2,1
488,71ST GROCERY INC.,5,3,2,3,2
489,71ST MEAT MARKET,16,7,9,10,6
490,72ST SHELL,5,0,5,4,1
491,734 FUEL AND FOOD INC,3,0,3,2,1
492,73RD MORGAN FOOD MART,2,1,1,1,1
493,"7400 S HALSTED FOOD AND LIQUORS, INC.",26,11,15,6,20
494,7447 PANTRY,3,0,3,2,1
495,747 FOOD & DELI,2,1,1,1,1
496,75 STEAK AND HOAGIES INC,5,0,5,4,1
497,75TH & STATE SHELL,2,1,1,2,0
498,"75TH FOOD & MEAT MART, INC",5,2,3,4,1
499,75TH STATE SHELL,2,0,2,1,1
500,"76 ENTERPRISES, INC.",5,0,5,4,1
501,"7600 FOOD MART, INC.",2,1,1,1,1
502,"76TH DISCOUNT STORE, INC.",4,0,4,2,2
503,"77 FOOD, INC.",3,2,1,1,2
504,77 W WACKER DR HOSPITALITY LLC,5,0,5,1,4
505,7700 CITGO KEDZIE,3,1,2,3,0
506,77TH STREET FOOD MART,5,2,3,3,2
507,79 FOOD BASKET,15,6,9,9,6
508,"7900 FOOD & FUEL, INC",3,0,3,2,1
509,79TH & KING FUEL MART INC,5,1,4,5,0
510,79TH BBQ,11,3,8,7,4
511,79TH BP,4,2,2,3,1
512,79TH FRESH FOOD & MEAT MARKET,5,4,1,2,3
513,79TH KINGSTONE FOOD MART,11,4,7,5,6
514,79TH MARKET,6,3,3,3,3
515,79TH MINI MART,2,2,0,1,1
516,79TH SHELL FOOD MART,8,2,6,5,3
517,79TH ST MINI MART,3,0,3,2,1
518,79TH STATE SHELL,3,1,2,3,0
519,79TH STREET BARBECUE,6,4,2,5,1
520,79TH STREET BARBEQUE,13,3,10,8,5
521,79TH STREET DAY CARE,20,13,7,5,15
522,79TH STREET FISH & CHICKEN,5,0,5,5,0
523,79th & RHODES PRODUCE INC.,3,2,1,2,1
524,79th VINCENNES DELI AND MARKET,10,2,8,7,3
525,7GREENS,3,0,3,2,1
526,7TH FLOOR SKY LOBBY,5,2,3,3,2
527,8 BROTHERS WIRELESS & MINI MART,2,0,2,1,1
528,8 CHOPSTIX WOK,2,1,1,1,1
529,8 EIGHTY EIGHT,3,1,2,2,1
530,80  ARMANETTI LIQOURS,6,2,4,3,3
531,80 PROOF,7,1,6,4,3
532,808 FOOD MART INC.,2,1,1,1,1
533,81ST AND RACINE CITGO INC.,13,3,10,8,5
534,82 DISCOUNT MART,5,1,4,4,1
535,82ND DISCOUNT STORE,7,2,5,5,2
536,83RD & STATE SHELL,3,1,2,2,1
537,83RD ONE STOP,2,1,1,0,2
538,83RD STATE SHELL,4,3,1,3,1
539,83RD STREET FOOD MART,5,2,3,4,1
540,83RD STREET GROCERY,4,2,2,1,3
541,87TH DISCOUNT,2,1,1,1,1
